len of train is： 180
len of val is: 16
########################################################################
Epoch: 1/2800..  Training Loss: 3.564..  Val Loss: 3.567..  Val Accuracy: 0.025
########################################################################
Epoch: 2/2800..  Training Loss: 3.501..  Val Loss: 3.427..  Val Accuracy: 0.039
########################################################################
Epoch: 3/2800..  Training Loss: 3.452..  Val Loss: 3.471..  Val Accuracy: 0.027
########################################################################
Epoch: 4/2800..  Training Loss: 3.428..  Val Loss: 3.438..  Val Accuracy: 0.048
########################################################################
Epoch: 5/2800..  Training Loss: 3.399..  Val Loss: 3.403..  Val Accuracy: 0.054
########################################################################
Epoch: 6/2800..  Training Loss: 3.383..  Val Loss: 3.377..  Val Accuracy: 0.079
########################################################################
Epoch: 7/2800..  Training Loss: 3.365..  Val Loss: 3.372..  Val Accuracy: 0.062
########################################################################
Epoch: 8/2800..  Training Loss: 3.348..  Val Loss: 3.372..  Val Accuracy: 0.068
########################################################################
Epoch: 9/2800..  Training Loss: 3.339..  Val Loss: 3.374..  Val Accuracy: 0.091
########################################################################
Epoch: 10/2800..  Training Loss: 3.327..  Val Loss: 3.343..  Val Accuracy: 0.091
########################################################################
Epoch: 11/2800..  Training Loss: 3.319..  Val Loss: 3.338..  Val Accuracy: 0.117
########################################################################
Epoch: 12/2800..  Training Loss: 3.310..  Val Loss: 3.335..  Val Accuracy: 0.124
########################################################################
Epoch: 13/2800..  Training Loss: 3.293..  Val Loss: 3.326..  Val Accuracy: 0.117
########################################################################
Epoch: 14/2800..  Training Loss: 3.288..  Val Loss: 3.302..  Val Accuracy: 0.126
########################################################################
Epoch: 15/2800..  Training Loss: 3.273..  Val Loss: 3.305..  Val Accuracy: 0.107
########################################################################
Epoch: 16/2800..  Training Loss: 3.267..  Val Loss: 3.290..  Val Accuracy: 0.117
########################################################################
Epoch: 17/2800..  Training Loss: 3.262..  Val Loss: 3.288..  Val Accuracy: 0.113
########################################################################
Epoch: 18/2800..  Training Loss: 3.252..  Val Loss: 3.283..  Val Accuracy: 0.120
########################################################################
Epoch: 19/2800..  Training Loss: 3.251..  Val Loss: 3.302..  Val Accuracy: 0.115
########################################################################
Epoch: 20/2800..  Training Loss: 3.244..  Val Loss: 3.283..  Val Accuracy: 0.117
########################################################################
Epoch: 21/2800..  Training Loss: 3.234..  Val Loss: 3.275..  Val Accuracy: 0.117
########################################################################
Epoch: 22/2800..  Training Loss: 3.236..  Val Loss: 3.274..  Val Accuracy: 0.117
########################################################################
Epoch: 23/2800..  Training Loss: 3.226..  Val Loss: 3.276..  Val Accuracy: 0.117
########################################################################
Epoch: 24/2800..  Training Loss: 3.220..  Val Loss: 3.270..  Val Accuracy: 0.117
########################################################################
Epoch: 25/2800..  Training Loss: 3.225..  Val Loss: 3.253..  Val Accuracy: 0.115
########################################################################
Epoch: 26/2800..  Training Loss: 3.218..  Val Loss: 3.270..  Val Accuracy: 0.111
########################################################################
Epoch: 27/2800..  Training Loss: 3.209..  Val Loss: 3.254..  Val Accuracy: 0.117
########################################################################
Epoch: 28/2800..  Training Loss: 3.218..  Val Loss: 3.255..  Val Accuracy: 0.119
########################################################################
Epoch: 29/2800..  Training Loss: 3.212..  Val Loss: 3.259..  Val Accuracy: 0.117
########################################################################
Epoch: 30/2800..  Training Loss: 3.206..  Val Loss: 3.270..  Val Accuracy: 0.117
########################################################################
Epoch: 31/2800..  Training Loss: 3.212..  Val Loss: 3.252..  Val Accuracy: 0.117
########################################################################
Epoch: 32/2800..  Training Loss: 3.204..  Val Loss: 3.252..  Val Accuracy: 0.117
########################################################################
Epoch: 33/2800..  Training Loss: 3.210..  Val Loss: 3.244..  Val Accuracy: 0.117
########################################################################
Epoch: 34/2800..  Training Loss: 3.200..  Val Loss: 3.251..  Val Accuracy: 0.119
########################################################################
Epoch: 35/2800..  Training Loss: 3.201..  Val Loss: 3.242..  Val Accuracy: 0.117
########################################################################
Epoch: 36/2800..  Training Loss: 3.200..  Val Loss: 3.240..  Val Accuracy: 0.117
########################################################################
Epoch: 37/2800..  Training Loss: 3.198..  Val Loss: 3.255..  Val Accuracy: 0.117
########################################################################
Epoch: 38/2800..  Training Loss: 3.196..  Val Loss: 3.234..  Val Accuracy: 0.117
########################################################################
Epoch: 39/2800..  Training Loss: 3.202..  Val Loss: 3.249..  Val Accuracy: 0.117
########################################################################
Epoch: 40/2800..  Training Loss: 3.198..  Val Loss: 3.245..  Val Accuracy: 0.117
########################################################################
Epoch: 41/2800..  Training Loss: 3.194..  Val Loss: 3.243..  Val Accuracy: 0.117
########################################################################
Epoch: 42/2800..  Training Loss: 3.193..  Val Loss: 3.238..  Val Accuracy: 0.117
########################################################################
Epoch: 43/2800..  Training Loss: 3.189..  Val Loss: 3.246..  Val Accuracy: 0.115
########################################################################
Epoch: 44/2800..  Training Loss: 3.190..  Val Loss: 3.248..  Val Accuracy: 0.117
########################################################################
Epoch: 45/2800..  Training Loss: 3.195..  Val Loss: 3.236..  Val Accuracy: 0.117
########################################################################
Epoch: 46/2800..  Training Loss: 3.192..  Val Loss: 3.249..  Val Accuracy: 0.117
########################################################################
Epoch: 47/2800..  Training Loss: 3.191..  Val Loss: 3.237..  Val Accuracy: 0.117
########################################################################
Epoch: 48/2800..  Training Loss: 3.191..  Val Loss: 3.234..  Val Accuracy: 0.117
########################################################################
Epoch: 49/2800..  Training Loss: 3.191..  Val Loss: 3.240..  Val Accuracy: 0.117
########################################################################
Epoch: 50/2800..  Training Loss: 3.186..  Val Loss: 3.244..  Val Accuracy: 0.117
########################################################################
Epoch: 51/2800..  Training Loss: 3.186..  Val Loss: 3.242..  Val Accuracy: 0.117
########################################################################
Epoch: 52/2800..  Training Loss: 3.184..  Val Loss: 3.237..  Val Accuracy: 0.117
########################################################################
Epoch: 53/2800..  Training Loss: 3.186..  Val Loss: 3.263..  Val Accuracy: 0.117
########################################################################
Epoch: 54/2800..  Training Loss: 3.187..  Val Loss: 3.253..  Val Accuracy: 0.117
########################################################################
Epoch: 55/2800..  Training Loss: 3.187..  Val Loss: 3.239..  Val Accuracy: 0.117
########################################################################
Epoch: 56/2800..  Training Loss: 3.185..  Val Loss: 3.236..  Val Accuracy: 0.117
########################################################################
Epoch: 57/2800..  Training Loss: 3.181..  Val Loss: 3.241..  Val Accuracy: 0.117
########################################################################
Epoch: 58/2800..  Training Loss: 3.182..  Val Loss: 3.227..  Val Accuracy: 0.117
########################################################################
Epoch: 59/2800..  Training Loss: 3.182..  Val Loss: 3.254..  Val Accuracy: 0.117
########################################################################
Epoch: 60/2800..  Training Loss: 3.185..  Val Loss: 3.253..  Val Accuracy: 0.117
########################################################################
Epoch: 61/2800..  Training Loss: 3.184..  Val Loss: 3.248..  Val Accuracy: 0.117
########################################################################
Epoch: 62/2800..  Training Loss: 3.184..  Val Loss: 3.241..  Val Accuracy: 0.117
########################################################################
Epoch: 63/2800..  Training Loss: 3.180..  Val Loss: 3.226..  Val Accuracy: 0.117
########################################################################
Epoch: 64/2800..  Training Loss: 3.181..  Val Loss: 3.239..  Val Accuracy: 0.117
########################################################################
Epoch: 65/2800..  Training Loss: 3.182..  Val Loss: 3.232..  Val Accuracy: 0.117
########################################################################
Epoch: 66/2800..  Training Loss: 3.179..  Val Loss: 3.252..  Val Accuracy: 0.117
########################################################################
Epoch: 67/2800..  Training Loss: 3.180..  Val Loss: 3.249..  Val Accuracy: 0.117
########################################################################
Epoch: 68/2800..  Training Loss: 3.181..  Val Loss: 3.239..  Val Accuracy: 0.117
########################################################################
Epoch: 69/2800..  Training Loss: 3.182..  Val Loss: 3.245..  Val Accuracy: 0.117
########################################################################
Epoch: 70/2800..  Training Loss: 3.180..  Val Loss: 3.248..  Val Accuracy: 0.117
########################################################################
Epoch: 71/2800..  Training Loss: 3.180..  Val Loss: 3.251..  Val Accuracy: 0.117
########################################################################
Epoch: 72/2800..  Training Loss: 3.178..  Val Loss: 3.241..  Val Accuracy: 0.117
########################################################################
Epoch: 73/2800..  Training Loss: 3.178..  Val Loss: 3.237..  Val Accuracy: 0.117
########################################################################
Epoch: 74/2800..  Training Loss: 3.181..  Val Loss: 3.239..  Val Accuracy: 0.117
########################################################################
Epoch: 75/2800..  Training Loss: 3.180..  Val Loss: 3.241..  Val Accuracy: 0.117
########################################################################
Epoch: 76/2800..  Training Loss: 3.179..  Val Loss: 3.236..  Val Accuracy: 0.117
########################################################################
Epoch: 77/2800..  Training Loss: 3.178..  Val Loss: 3.238..  Val Accuracy: 0.117
########################################################################
Epoch: 78/2800..  Training Loss: 3.176..  Val Loss: 3.241..  Val Accuracy: 0.117
########################################################################
Epoch: 79/2800..  Training Loss: 3.178..  Val Loss: 3.245..  Val Accuracy: 0.117
########################################################################
Epoch: 80/2800..  Training Loss: 3.178..  Val Loss: 3.245..  Val Accuracy: 0.117
########################################################################
Epoch: 81/2800..  Training Loss: 3.176..  Val Loss: 3.242..  Val Accuracy: 0.117
########################################################################
Epoch: 82/2800..  Training Loss: 3.176..  Val Loss: 3.236..  Val Accuracy: 0.117
########################################################################
Epoch: 83/2800..  Training Loss: 3.178..  Val Loss: 3.236..  Val Accuracy: 0.117
########################################################################
Epoch: 84/2800..  Training Loss: 3.176..  Val Loss: 3.235..  Val Accuracy: 0.117
########################################################################
Epoch: 85/2800..  Training Loss: 3.177..  Val Loss: 3.240..  Val Accuracy: 0.117
########################################################################
Epoch: 86/2800..  Training Loss: 3.175..  Val Loss: 3.247..  Val Accuracy: 0.117
########################################################################
Epoch: 87/2800..  Training Loss: 3.177..  Val Loss: 3.236..  Val Accuracy: 0.119
########################################################################
Epoch: 88/2800..  Training Loss: 3.177..  Val Loss: 3.232..  Val Accuracy: 0.117
########################################################################
Epoch: 89/2800..  Training Loss: 3.176..  Val Loss: 3.236..  Val Accuracy: 0.117
########################################################################
Epoch: 90/2800..  Training Loss: 3.178..  Val Loss: 3.243..  Val Accuracy: 0.117
########################################################################
